Date,P/E Ratio,Closing Price,Open,Low,High,Volume
1/1/1962,21.25,70.96,71.55,70.71,71.96,3120000
2/1/1962,21.21,69.26,68.84,68.56,69.65,4260000
3/1/1962,20.86,70.2,69.96,69.76,70.6,2960000
4/1/1962,20,69.37,70.01,69.16,70.09,2950000
5/1/1962,18.33,65.7,65.24,63.76,65.94,5100000
6/1/1962,16.03,59.38,59.63,58.52,59.96,5760000
7/1/1962,16.32,55.86,54.41,54.2,55.47,4720000
8/1/1962,16.67,57.75,58.23,57.51,58.3,3100000
9/1/1962,16.43,58.56,58.68,58.45,59.25,2830000
10/1/1962,15.7,55.49,56.27,55.26,56.31,3090000
11/1/1962,16.57,57.12,56.52,55.9,57.31,3400000
12/1/1962,17.07,61.94,62.41,61.78,62.78,4570000
1/1/1963,17.66,62.69,62.96,62.68,63.43,5420000
2/1/1963,17.83,66.31,66.31,66.31,66.31,4280000
3/1/1963,17.7,64.1,64.29,63.8,64.75,3920000
4/1/1963,18.32,66.85,66.57,66.23,67.18,3890000
5/1/1963,18.47,69.97,69.8,69.61,70.43,5060000
6/1/1963,18.26,70.69,70.33,70.27,71.14,4680000
7/1/1963,17.8,68.86,69.37,68.58,69.53,3360000
8/1/1963,18.11,69.07,69.13,68.64,69.47,3410000
9/1/1963,18.4,72.66,72.16,71.88,72.71,4560000
10/1/1963,18.35,72.22,71.7,71.57,72.65,4420000
11/1/1963,18.16,73.83,74.01,73.47,74.44,5240000
12/1/1963,18.45,73.66,72.25,72.05,73.47,4810000
1/1/1964,18.77,75.43,74.56,74.4,75.36,6730000
2/1/1964,18.75,76.97,76.7,76.39,77.37,4000000
3/1/1964,18.85,77.97,77.62,77.2,78.06,4980000
4/1/1964,18.9,79.24,78.98,78.67,79.58,5510000
5/1/1964,18.86,80.17,79.46,79.46,80.47,5990000
6/1/1964,18.53,80.11,80.37,79.83,80.83,4300000
7/1/1964,19.01,82.27,81.69,81.46,82.51,5320000
8/1/1964,18.54,83,83.09,82.72,83.57,4220000
9/1/1964,18.66,82.18,81.83,81.57,82.5,4650000
10/1/1964,18.87,84.08,84.18,83.74,84.53,4470000
11/1/1964,18.89,85.18,84.73,84.41,85.22,4120000
12/1/1964,18.45,83.55,84.42,83.36,84.56,4940000
1/1/1965,18.75,84.23,84.3,84.18,85.18,6470000
2/1/1965,18.71,87.58,87.56,87.05,88.01,5690000
3/1/1965,18.55,87.25,87.43,86.92,87.93,5780000
4/1/1965,18.59,86.32,86.16,85.87,86.73,4890000
5/1/1965,18.65,89.23,88.93,88.5,89.44,5190000
6/1/1965,17.57,88.72,88.42,87.88,88.8,4830000
7/1/1965,17.38,84.48,84.12,83.57,84.64,4520000
8/1/1965,17.53,85.42,84.68,84.64,85.64,5200000
9/1/1965,17.95,87.17,87.17,86.69,87.63,5890000
10/1/1965,18.1,89.9,89.96,89.3,90.48,7470000
11/1/1965,18,92.23,92.42,91.73,92.92,6340000
12/1/1965,17.67,91.5,91.61,91.02,92.26,10140000
1/1/1966,17.81,92.18,92.2,91.82,93.05,7240000
2/1/1966,17.52,92.16,92.88,91.61,93.36,9090000
3/1/1966,16.64,90.06,91.22,89.76,91.65,11030000
4/1/1966,17.03,89.94,89.23,88.96,90.37,9050000
5/1/1966,16.01,90.9,91.13,90.57,91.86,7220000
6/1/1966,15.76,86.1,86.13,85.28,86.65,5290000
7/1/1966,15.67,85.61,84.74,84.74,86.08,5200000
8/1/1966,14.68,82.31,83.6,81.98,83.5,5880000
9/1/1966,14.12,77.7,77.1,76.66,78.5,6250000
10/1/1966,13.96,74.9,76.31,75.45,77.09,6170000
11/1/1966,14.63,80.81,80.2,79.79,81.18,6480000
12/1/1966,14.65,80.08,80.45,79.66,81.04,8480000
1/1/1967,15.31,80.38,80.37,79.66,81.14,11330000
2/1/1967,15.93,86.43,86.61,85.68,87.04,9580000
3/1/1967,16.41,87.68,86.78,86.67,88.36,11510000
4/1/1967,16.81,89.24,90.7,89.75,91.15,8130000
5/1/1967,17.24,93.84,94.01,93.08,94.6,9410000
6/1/1967,17.15,90.23,89.08,88.81,90.76,9040000
7/1/1967,17.48,90.91,90.64,90.64,90.64,7850000
8/1/1967,17.79,95.37,94.75,94.2,95.84,12290000
9/1/1967,18.08,93.68,93.64,93,94.21,7460000
10/1/1967,18.02,96.32,96.79,96.06,97.37,9710000
11/1/1967,17.42,92.71,93.3,92.45,94.21,10930000
12/1/1967,17.88,94.5,94,93.41,94.95,9740000
1/1/1968,17.71,96.11,95.89,95.85,96.9,14950000
2/1/1968,16.8,92.56,92.24,91.57,93.14,10590000
3/1/1968,16.38,89.11,89.36,88.58,89.82,8610000
4/1/1968,17.45,92.48,90.2,91.11,93.55,17730000
5/1/1968,17.71,97.97,97.46,96.84,98.61,14440000
6/1/1968,18.04,99.99,97.92,97.66,99.4,13090000
7/1/1968,17.91,99.4,99.58,98.77,100.33,11280000
8/1/1968,17.43,97.28,97.74,96.78,98.82,14380000
9/1/1968,17.9,99.32,98.74,98.2,99.52,8190000
10/1/1968,18.23,102.86,102.67,101.8,103.58,15560000
11/1/1968,18.41,103.06,103.41,102.36,104.3,14480000
12/1/1968,18.49,108.12,107.76,107.32,109.09,14390000
1/1/1969,17.65,103.93,103.8,102.98,104.61,13130000
2/1/1969,17.5,102.89,102.55,102.08,103.64,12020000
3/1/1969,17.06,98.38,98.14,97.53,99.02,8990000
4/1/1969,17.39,101.42,101.51,100.84,102.45,12360000
5/1/1969,17.93,103.51,103.69,102.74,104.59,14380000
6/1/1969,16.98,102.94,103.26,102.76,104.27,11770000
7/1/1969,16.17,98.08,97.71,97.13,98.66,9890000
8/1/1969,16.04,93.47,91.83,91.92,94.19,15070000
9/1/1969,16.05,95.54,94.89,94.46,95.51,8850000
10/1/1969,16.32,92.52,93.12,92.12,93.51,9090000
11/1/1969,16.54,97.15,96.93,96.33,98.03,13100000
12/1/1969,15.76,93.22,93.81,92.78,94.47,9950000
1/1/1970,15.76,93,91.6,91.15,92.94,19380000
2/1/1970,15.35,85.75,85.69,84.42,86.33,12320000
3/1/1970,15.75,89.71,88.9,88.42,90.33,12890000
4/1/1970,15.37,90.07,89.63,89.3,90.62,9810000
5/1/1970,13.69,81.44,81.52,80.27,82.32,8290000
6/1/1970,13.69,77.84,76.55,75.84,78.4,15020000
7/1/1970,13.85,72.94,72.72,72.11,73.66,8610000
8/1/1970,14.39,77.02,78.07,77.44,79.03,11640000
9/1/1970,15.41,80.95,81.52,80.43,81.8,10960000
10/1/1970,15.97,84.32,84.3,83.46,84.7,9700000
11/1/1970,16.19,83.51,83.36,82.52,83.8,10520000
12/1/1970,17.55,87.47,87.2,86.11,88.61,20170000
1/1/1971,18.12,91.15,92.27,91.36,92.79,13390000
