Date,P/E Ratio,EPS,P/E * EPS,Closing Price,Closing Price - (P/E * EPS)
9/1/2021,25.35,183.81,4659.5835,4524.09,135.4935
8/1/2021,26.23,178.49,4681.7927,4387.16,294.6327
7/1/2021,26.56,173.02,4595.4112,4319.94,275.4712
6/1/2021,26.7,168,4485.6,4202.04,283.56
5/1/2021,28.05,158.68,4450.974,4192.66,258.314
4/1/2021,29.92,148.98,4457.4816,4019.87,437.6116
3/1/2021,30.5,139.15,4244.075,3901.82,342.255
2/1/2021,33.24,127.72,4245.4128,3773.86,471.5528
1/1/2021,35.96,115.94,4169.2024,3700.65,468.5524
12/1/2020,39.26,103.9,4079.114,3662.45,416.664
11/1/2020,37.16,105.5,3920.38,3310.24,610.14
10/1/2020,35.3,106.94,3774.982,3380.8,394.182
9/1/2020,34.27,108.49,3717.9523,3526.65,191.3023
8/1/2020,34.41,109.02,3751.3782,3294.61,456.7682
7/1/2020,32.44,109.73,3559.6412,3115.86,443.7812
6/1/2020,31.29,110.66,3462.5514,3055.73,406.8214
5/1/2020,27.82,117.66,3273.3012,2830.71,442.5912
4/1/2020,24.97,124.06,3097.7782,2470.5,627.2782
3/1/2020,22.8,129.58,2954.424,3090.23,-135.806
2/1/2020,26.42,137.87,3642.5254,3248.92,393.6054
1/1/2020,24.88,146.84,3653.3792,3257.85,395.5292
12/1/2019,22.78,156.04,3554.5912,3113.87,440.7212
11/1/2019,22.62,153.45,3471.039,3066.91,404.129
10/1/2019,22.04,150.92,3326.2768,2940.25,386.0268
9/1/2019,22.44,148.81,3339.2964,2906.27,433.0264
8/1/2019,21.67,149.82,3246.5994,2953.56,293.0394
7/1/2019,22.28,150.69,3357.3732,2964.33,393.0432
6/1/2019,21.37,151.83,3244.6071,2744.45,500.1571
5/1/2019,21.15,151.53,3204.8595,2923.73,281.1295
4/1/2019,21.56,151.53,3266.9868,2867.19,399.7968
3/1/2019,20.86,152,3170.72,2803.69,367.03
2/1/2019,20.6,152.1,3133.26,2706.53,426.73
1/1/2019,19.6,151.98,2978.808,2510.03,468.778
12/1/2018,19.39,151.5,2937.585,2790.37,147.215
11/1/2018,20.67,150.26,3105.8742,2740.37,365.5042
10/1/2018,21.25,149,3166.25,2924.59,241.66
9/1/2018,22.25,148.5,3304.125,2896.72,407.405
8/1/2018,22.37,145.67,3258.6379,2813.36,445.2779
7/1/2018,22.33,142.74,3187.3842,2726.71,460.6742
6/1/2018,22.49,139.74,3142.7526,2734.62,408.1326
5/1/2018,22.49,137.28,3087.4272,2654.8,432.6272
4/1/2018,22.53,135.16,3045.1548,2581.88,463.2748
3/1/2018,23.41,133,3113.53,2677.67,435.86
2/1/2018,23.82,131.16,3124.2312,2821.98,302.2512
1/1/2018,24.97,129.6,3236.112,2695.81,540.302
12/1/2017,24.25,128.15,3107.6375,2642.22,465.4175
11/1/2017,23.81,126.98,3023.3938,2579.36,444.0338
10/1/2017,23.67,125.9,2980.053,2529.12,450.933
9/1/2017,23.28,124.73,2903.7144,2476.55,427.1644
8/1/2017,23.16,124.2,2876.472,2476.35,400.122
7/1/2017,23.36,123.37,2881.9232,2429.01,452.9132
6/1/2017,23.4,122.09,2856.906,2430.06,426.846
5/1/2017,23.31,120.74,2814.4494,2388.33,426.1194
4/1/2017,23.24,119.38,2774.3912,2358.84,415.5512
3/1/2017,23.6,118.27,2791.172,2395.96,395.212
2/1/2017,23.68,116.11,2749.4848,2279.55,469.9348
1/1/2017,23.59,114.21,2694.2139,2257.83,436.3839
12/1/2016,23.76,112.59,2675.1384,2191.08,484.0584
11/1/2016,23.35,110.46,2579.241,2111.72,467.521
10/1/2016,23.57,108.13,2548.6241,2161.2,387.4241
9/1/2016,24.22,106.09,2569.4998,2170.86,398.6398
8/1/2016,24.57,105.48,2591.6436,2170.84,420.8036
7/1/2016,24.52,104.72,2567.7344,2102.95,464.7844
6/1/2016,23.97,103.68,2485.2096,2099.33,385.8796
5/1/2016,23.81,103.83,2472.1923,2081.43,390.7623
4/1/2016,23.97,104.06,2494.3182,2072.78,421.5382
3/1/2016,23.39,104.36,2440.9804,1978.35,462.6304
2/1/2016,22.02,104.85,2308.797,1939.38,369.417
1/1/2016,22.18,104.97,2328.2346,2012.66,315.5746
12/1/2015,23.74,105.18,2496.9732,2102.63,394.3432
11/1/2015,23.67,106.49,2520.6183,2104.05,416.5683
10/1/2015,22.68,107.93,2447.8524,1923.82,524.0324
9/1/2015,21.45,109.54,2349.633,1913.85,435.783
8/1/2015,22.15,111.08,2460.422,2098.04,362.382
7/1/2015,22.4,112.63,2522.912,2077.42,445.492
6/1/2015,22.12,114.34,2529.2008,2111.73,417.4708
5/1/2015,21.92,116.49,2553.4608,2108.29,445.1708
4/1/2015,21.42,118.85,2545.767,2059.69,486.077
3/1/2015,20.96,120.85,2533.016,2117.39,415.626
2/1/2015,20.77,122.82,2550.9714,2020.85,530.1214
1/1/2015,20.02,124.61,2494.6922,2058.2,436.4922
12/1/2014,20.08,125.27,2515.4216,2053.44,461.9816
11/1/2014,19.75,126.04,2489.29,2017.81,471.48
10/1/2014,18.5,126.83,2346.355,1946.16,400.195
9/1/2014,18.81,127.98,2407.3038,2002.28,405.0238
8/1/2014,18.68,126.94,2371.2392,1925.15,446.0892
7/1/2014,18.96,125.58,2380.9968,1973.32,407.6768
6/1/2014,18.88,124.39,2348.4832,1924.97,423.5132
5/1/2014,18.46,123.71,2283.6866,1883.68,400.0066
4/1/2014,18.35,123.22,2261.087,1885.52,375.567
3/1/2014,18.48,122.71,2267.6808,1845.73,421.9508
2/1/2014,18.06,123.23,2225.5338,1741.89,483.6438
1/1/2014,18.15,123.42,2240.073,1831.98,408.093
12/1/2013,18.04,123.61,2229.9244,1800.9,429.0244
11/1/2013,18.15,121.21,2199.9615,1761.64,438.3215
10/1/2013,17.86,118.57,2117.6602,1695,422.6602
9/1/2013,17.88,115.87,2071.7556,1639.77,431.9856
8/1/2013,17.91,114.61,2052.6651,1706.87,345.7951
7/1/2013,18.12,113.34,2053.7208,1614.96,438.7608
6/1/2013,17.8,111.98,1993.244,1640.42,352.824
5/1/2013,18.25,110.91,2024.1075,1582.7,441.4075
4/1/2013,17.69,109.77,1941.8313,1562.17,379.6613
3/1/2013,17.68,108.32,1915.0976,1518.2,396.8976
2/1/2013,17.32,108.11,1872.4652,1513.17,359.2952
1/1/2013,17.03,108.5,1847.755,1462.42,385.335
12/1/2012,16.44,108.33,1780.9452,1409.46,371.4852
11/1/2012,16.12,108.03,1741.4436,1427.59,313.8536
10/1/2012,16.62,107.52,1786.9824,1444.49,342.4924
9/1/2012,16.69,107.47,1793.6743,1404.94,388.7343
8/1/2012,16.14,108.54,1751.8356,1375.32,376.5156
7/1/2012,15.55,109.74,1706.457,1365.51,340.947
6/1/2012,15.05,110.15,1657.7575,1278.04,379.7175
5/1/2012,15.22,110.25,1678.005,1405.82,272.185
4/1/2012,15.7,110.38,1732.966,1419.04,313.926
3/1/2012,15.69,110.97,1741.1193,1374.09,367.0293
2/1/2012,15.37,111.14,1708.2218,1324.09,384.1318
1/1/2012,14.87,110.96,1649.9752,1277.06,372.9152
12/1/2011,14.3,110.77,1584.011,1244.58,339.431
11/1/2011,14.1,110.51,1558.191,1218.28,339.911
10/1/2011,13.88,110.43,1532.7684,1099.23,433.5384
9/1/2011,13.5,110.22,1487.97,1204.42,283.55
8/1/2011,13.79,109.07,1504.0753,1286.94,217.1353
7/1/2011,15.61,108.05,1686.6605,1339.67,346.9905
6/1/2011,15.35,106.83,1639.8405,1314.55,325.2905
5/1/2011,16.12,105.63,1702.7556,1361.22,341.5356
4/1/2011,16.21,105.03,1702.5363,1332.41,370.1263
3/1/2011,16.04,104.61,1677.9444,1306.33,371.6144
2/1/2011,16.52,103.92,1716.7584,1307.59,409.1684
1/1/2011,16.3,102.7,1674.01,1271.87,402.14
12/1/2010,16.05,101.46,1628.433,1206.07,422.363
11/1/2010,15.88,99.23,1575.7724,1184.38,391.3924
10/1/2010,15.9,96.87,1540.233,1146.24,393.993
9/1/2010,15.61,94.58,1476.3938,1080.29,396.1038
8/1/2010,15.47,92.55,1431.7485,1125.86,305.8885
7/1/2010,15.72,90.58,1423.9176,1027.37,396.5476
6/1/2010,16.15,88.51,1429.4365,1070.71,358.7265
5/1/2010,17.3,85.71,1482.783,1202.26,280.523
4/1/2010,19.01,83.07,1579.1607,1178.1,401.0607
3/1/2010,18.91,80.49,1522.0659,1115.71,406.3559
2/1/2010,18.91,76.42,1445.1022,1089.19,355.9122
1/1/2010,20.7,72.03,1491.021,1132.99,358.031
12/1/2009,21.78,67.86,1477.9908,1108.86,369.1308
11/1/2009,28.51,50.71,1445.7421,1042.88,402.8621
10/1/2009,42.12,33.71,1419.8652,1029.85,390.0152
9/1/2009,83.3,16.69,1390.277,998.04,392.237
8/1/2009,92.95,14.47,1344.9865,1002.63,342.3565
7/1/2009,101.87,12.26,1248.9262,923.33,325.5962
6/1/2009,123.32,10.01,1234.4332,942.87,291.5632
5/1/2009,123.73,9.81,1213.7913,877.52,336.2713
4/1/2009,119.85,9.54,1143.369,811.08,332.289
3/1/2009,110.37,9.27,1023.1299,700.82,322.3099
2/1/2009,84.46,12.92,1091.2232,825.44,265.7832
1/1/2009,70.91,16.62,1178.5242,931.8,246.7242
12/1/2008,58.98,20.35,1200.243,816.21,384.033
11/1/2008,34.99,34.16,1195.2584,966.3,228.9584
10/1/2008,27.22,47.25,1286.145,1161.06,125.085
9/1/2008,26.48,60.38,1598.8624,1277.58,321.2824
8/1/2008,26.83,62.67,1681.4361,1260.31,421.1261
7/1/2008,25.37,64.78,1643.4686,1284.91,358.5586
6/1/2008,26.11,67.5,1762.425,1385.67,376.755
5/1/2008,25.81,72.17,1862.7077,1409.34,453.3677
4/1/2008,23.88,76.8,1833.984,1370.18,463.804
3/1/2008,21.81,81.31,1773.3711,1331.34,442.0311
2/1/2008,21.74,84.64,1840.0736,1395.42,444.6536
1/1/2008,21.46,87.51,1877.9646,1447.16,430.8046
12/1/2007,22.35,90.59,2024.6865,1472.42,552.2665
11/1/2007,20.81,96.19,2001.7139,1508.44,493.2739
10/1/2007,20.68,102.46,2118.8728,1547.04,571.8328
9/1/2007,19.05,108.39,2064.8295,1489.42,575.4095
8/1/2007,18.02,111.6,2011.032,1465.81,545.222
7/1/2007,18.36,114.3,2098.548,1519.43,579.118
6/1/2007,17.83,117.18,2089.3194,1536.34,552.9794
5/1/2007,17.92,116.59,2089.2928,1486.3,602.9928
4/1/2007,17.48,116.48,2036.0704,1424.55,611.5204
3/1/2007,16.92,116.41,1969.6572,1403.17,566.4872
2/1/2007,17.49,116.7,2041.083,1445.94,595.143
1/1/2007,17.36,116.55,2023.308,1416.6,606.708
12/1/2006,17.38,116.13,2018.3394,1396.71,621.6294
11/1/2006,17.24,114.9,1980.876,1367.81,613.066
10/1/2006,17.14,113.33,1942.4762,1331.32,611.1562
9/1/2006,16.77,111.33,1867.0041,1311.01,555.9941
8/1/2006,16.67,108.87,1814.8629,1270.92,543.9429
7/1/2006,16.61,107.16,1779.9276,1280.19,499.7376
6/1/2006,16.82,105.55,1775.351,1285.71,489.641
5/1/2006,17.46,104.9,1831.554,1305.19,526.364
4/1/2006,17.77,104.55,1857.8535,1297.81,560.0435
3/1/2006,17.8,104.57,1861.346,1291.24,570.106
2/1/2006,17.8,103.78,1847.284,1282.46,564.824
1/1/2006,18.07,102.62,1854.3434,1268.8,585.5434
12/1/2005,18.07,102.01,1843.3207,1264.67,578.6507
11/1/2005,18.01,99.97,1800.4597,1202.76,597.6997
10/1/2005,17.64,97.55,1720.782,1226.7,494.082
9/1/2005,18.44,96.13,1772.6372,1221.59,551.0472
8/1/2005,18.72,95.74,1792.2528,1235.35,556.9028
7/1/2005,19,94.65,1798.35,1194.44,603.91
6/1/2005,19,93.51,1776.69,1202.22,574.47
5/1/2005,18.93,92.06,1742.6958,1162.16,580.5358
4/1/2005,19.02,90.47,1720.7394,1172.92,547.8194
3/1/2005,19.84,89.57,1777.0688,1210.41,566.6588
2/1/2005,20.11,89.43,1798.4373,1189.41,609.0273
1/1/2005,19.99,89.11,1781.3089,1202.08,579.2289
12/1/2004,20.48,88.46,1811.6608,1191.37,620.2908
11/1/2004,20.05,87.74,1759.187,1130.51,628.677
10/1/2004,19.25,87.4,1682.45,1131.5,550.95
9/1/2004,19.35,87.46,1692.351,1105.91,586.441
8/1/2004,19.03,86.83,1652.3749,1106.62,545.7549
7/1/2004,19.51,86.05,1678.8355,1128.94,549.8955
6/1/2004,20.17,85.1,1716.467,1121.2,595.267
5/1/2004,20.14,83.27,1677.0578,1117.49,559.5678
4/1/2004,21.23,81.64,1733.2172,1132.17,601.0472
3/1/2004,21.61,79.78,1724.0458,1155.97,568.0758
2/1/2004,22.46,78.61,1765.5806,1135.26,630.3206
1/1/2004,22.73,77.35,1758.1655,1108.48,649.6855
12/1/2003,22.17,76.03,1685.5851,1070.12,615.4651
11/1/2003,23.15,70.67,1636.0105,1059.02,576.9905
10/1/2003,24.75,65.22,1614.195,1018.22,595.975
9/1/2003,26.42,59.89,1582.2938,1021.99,560.3038
8/1/2003,26.57,57.99,1540.7943,980.15,560.6443
7/1/2003,27.65,56.11,1551.4415,982.32,569.1215
6/1/2003,28.6,54.07,1546.402,967,579.402
5/1/2003,28.24,51.92,1466.2208,916.3,549.9208
4/1/2003,28.05,49.63,1392.1215,858.48,533.6415
3/1/2003,27.92,47.32,1321.1744,834.81,486.3644
2/1/2003,28.46,46.18,1314.2828,860.32,453.9628
1/1/2003,31.43,45.1,1417.493,909.03,508.463
12/1/2002,32.59,43.85,1429.0715,934.53,494.5415
11/1/2002,32.03,45.05,1442.9515,900.96,541.9915
10/1/2002,29.24,46.34,1354.9816,847.91,507.0716
9/1/2002,28.89,47.72,1378.6308,878.02,500.6108
8/1/2002,31.53,46.05,1451.9565,884.66,567.2965
7/1/2002,32.46,44.44,1442.5224,968.65,473.8724
6/1/2002,37.92,42.73,1620.3216,1040.68,579.6416
5/1/2002,41.41,41.67,1725.5547,1086.46,639.0947
4/1/2002,43.81,40.58,1777.8098,1146.54,631.2698
3/1/2002,46.71,39.72,1855.3212,1131.78,723.5412
2/1/2002,44.57,39.93,1779.6801,1122.2,657.4801
1/1/2002,46.17,40.09,1850.9553,1154.67,696.2853
12/1/2001,46.37,40.17,1862.6829,1129.9,732.7829
11/1/2001,43.62,41.97,1830.7314,1084.1,746.6314
10/1/2001,39.72,43.85,1741.722,1038.55,703.172
9/1/2001,36.9,45.65,1684.485,1132.94,551.545
8/1/2001,37.85,50.43,1908.7755,1215.93,692.8455
7/1/2001,35.46,55.01,1950.6546,1236.72,713.9346
6/1/2001,33.67,59.42,2000.6714,1260.67,740.0014
5/1/2001,32.02,64.19,2055.3638,1266.44,788.9238
4/1/2001,27.96,69.16,1933.7136,1145.87,787.8436
3/1/2001,26.1,74.14,1935.054,1241.23,693.824
2/1/2001,27.81,76.8,2135.808,1373.47,762.338
1/1/2001,27.55,79.6,2192.98,1283.27,909.71
12/1/2000,26.62,82.62,2199.3444,1315.23,884.1144
11/1/2000,26.9,84.61,2276.009,1421.22,854.789
10/1/2000,26.5,86.69,2297.285,1436.23,861.055
9/1/2000,27.34,88.88,2429.9792,1520.77,909.2092
8/1/2000,27.97,88.36,2471.4292,1438.1,1033.3292
7/1/2000,28.05,87.37,2450.7285,1469.54,981.1885
6/1/2000,28.16,86.58,2438.0928,1448.81,989.2828
5/1/2000,27.49,86.5,2377.885,1468.25,909.635
4/1/2000,28.5,86.06,2452.71,1505.97,946.74
3/1/2000,28.31,85.56,2422.2036,1379.19,1043.0136
2/1/2000,27.76,84.7,2351.272,1409.28,941.992
1/1/2000,29.04,83.62,2428.3248,1455.22,973.1048
