Date,P/E Ratio,Closing Price
9/1/2021,25.35,4524.09
8/1/2021,26.23,4387.16
7/1/2021,26.56,4319.94
6/1/2021,26.7,4202.04
5/1/2021,28.05,4192.66
4/1/2021,29.92,4019.87
3/1/2021,30.5,3901.82
2/1/2021,33.24,3773.86
1/1/2021,35.96,3700.65
12/1/2020,39.26,3662.45
11/1/2020,37.16,3310.24
10/1/2020,35.3,3380.8
9/1/2020,34.27,3526.65
8/1/2020,34.41,3294.61
7/1/2020,32.44,3115.86
6/1/2020,31.29,3055.73
5/1/2020,27.82,2830.71
4/1/2020,24.97,2470.5
3/1/2020,22.8,3090.23
2/1/2020,26.42,3248.92
1/1/2020,24.88,3257.85
12/1/2019,22.78,3113.87
11/1/2019,22.62,3066.91
10/1/2019,22.04,2940.25
9/1/2019,22.44,2906.27
8/1/2019,21.67,2953.56
7/1/2019,22.28,2964.33
6/1/2019,21.37,2744.45
5/1/2019,21.15,2923.73
4/1/2019,21.56,2867.19
3/1/2019,20.86,2803.69
2/1/2019,20.6,2706.53
1/1/2019,19.6,2510.03
12/1/2018,19.39,2790.37
11/1/2018,20.67,2740.37
10/1/2018,21.25,2924.59
9/1/2018,22.25,2896.72
8/1/2018,22.37,2813.36
7/1/2018,22.33,2726.71
6/1/2018,22.49,2734.62
5/1/2018,22.49,2654.8
4/1/2018,22.53,2581.88
3/1/2018,23.41,2677.67
2/1/2018,23.82,2821.98
1/1/2018,24.97,2695.81
12/1/2017,24.25,2642.22
11/1/2017,23.81,2579.36
10/1/2017,23.67,2529.12
9/1/2017,23.28,2476.55
8/1/2017,23.16,2476.35
7/1/2017,23.36,2429.01
6/1/2017,23.4,2430.06
5/1/2017,23.31,2388.33
4/1/2017,23.24,2358.84
3/1/2017,23.6,2395.96
2/1/2017,23.68,2279.55
1/1/2017,23.59,2257.83
12/1/2016,23.76,2191.08
11/1/2016,23.35,2111.72
10/1/2016,23.57,2161.2
9/1/2016,24.22,2170.86
8/1/2016,24.57,2170.84
7/1/2016,24.52,2102.95
6/1/2016,23.97,2099.33
5/1/2016,23.81,2081.43
4/1/2016,23.97,2072.78
3/1/2016,23.39,1978.35
2/1/2016,22.02,1939.38
1/1/2016,22.18,2012.66
12/1/2015,23.74,2102.63
11/1/2015,23.67,2104.05
10/1/2015,22.68,1923.82
9/1/2015,21.45,1913.85
8/1/2015,22.15,2098.04
7/1/2015,22.4,2077.42
6/1/2015,22.12,2111.73
5/1/2015,21.92,2108.29
4/1/2015,21.42,2059.69
3/1/2015,20.96,2117.39
2/1/2015,20.77,2020.85
1/1/2015,20.02,2058.2
12/1/2014,20.08,2053.44
11/1/2014,19.75,2017.81
10/1/2014,18.5,1946.16
9/1/2014,18.81,2002.28
8/1/2014,18.68,1925.15
7/1/2014,18.96,1973.32
6/1/2014,18.88,1924.97
5/1/2014,18.46,1883.68
4/1/2014,18.35,1885.52
3/1/2014,18.48,1845.73
2/1/2014,18.06,1741.89
1/1/2014,18.15,1831.98
12/1/2013,18.04,1800.9
11/1/2013,18.15,1761.64
10/1/2013,17.86,1695
9/1/2013,17.88,1639.77
8/1/2013,17.91,1706.87
7/1/2013,18.12,1614.96
6/1/2013,17.8,1640.42
5/1/2013,18.25,1582.7
4/1/2013,17.69,1562.17
3/1/2013,17.68,1518.2
2/1/2013,17.32,1513.17
1/1/2013,17.03,1462.42
12/1/2012,16.44,1409.46
11/1/2012,16.12,1427.59
10/1/2012,16.62,1444.49
9/1/2012,16.69,1404.94
8/1/2012,16.14,1375.32
7/1/2012,15.55,1365.51
6/1/2012,15.05,1278.04
5/1/2012,15.22,1405.82
4/1/2012,15.7,1419.04
3/1/2012,15.69,1374.09
2/1/2012,15.37,1324.09
1/1/2012,14.87,1277.06
12/1/2011,14.3,1244.58
11/1/2011,14.1,1218.28
10/1/2011,13.88,1099.23
9/1/2011,13.5,1204.42
8/1/2011,13.79,1286.94
7/1/2011,15.61,1339.67
6/1/2011,15.35,1314.55
5/1/2011,16.12,1361.22
4/1/2011,16.21,1332.41
3/1/2011,16.04,1306.33
2/1/2011,16.52,1307.59
1/1/2011,16.3,1271.87
12/1/2010,16.05,1206.07
11/1/2010,15.88,1184.38
10/1/2010,15.9,1146.24
9/1/2010,15.61,1080.29
8/1/2010,15.47,1125.86
7/1/2010,15.72,1027.37
6/1/2010,16.15,1070.71
5/1/2010,17.3,1202.26
4/1/2010,19.01,1178.1
3/1/2010,18.91,1115.71
2/1/2010,18.91,1089.19
1/1/2010,20.7,1132.99
12/1/2009,21.78,1108.86
11/1/2009,28.51,1042.88
10/1/2009,42.12,1029.85
9/1/2009,83.3,998.04
8/1/2009,92.95,1002.63
7/1/2009,101.87,923.33
6/1/2009,123.32,942.87
5/1/2009,123.73,877.52
4/1/2009,119.85,811.08
3/1/2009,110.37,700.82
2/1/2009,84.46,825.44
1/1/2009,70.91,931.8
12/1/2008,58.98,816.21
11/1/2008,34.99,966.3
10/1/2008,27.22,1161.06
9/1/2008,26.48,1277.58
8/1/2008,26.83,1260.31
7/1/2008,25.37,1284.91
6/1/2008,26.11,1385.67
5/1/2008,25.81,1409.34
4/1/2008,23.88,1370.18
3/1/2008,21.81,1331.34
2/1/2008,21.74,1395.42
1/1/2008,21.46,1447.16
12/1/2007,22.35,1472.42
11/1/2007,20.81,1508.44
10/1/2007,20.68,1547.04
9/1/2007,19.05,1489.42
8/1/2007,18.02,1465.81
7/1/2007,18.36,1519.43
6/1/2007,17.83,1536.34
5/1/2007,17.92,1486.3
4/1/2007,17.48,1424.55
3/1/2007,16.92,1403.17
2/1/2007,17.49,1445.94
1/1/2007,17.36,1416.6
12/1/2006,17.38,1396.71
11/1/2006,17.24,1367.81
10/1/2006,17.14,1331.32
9/1/2006,16.77,1311.01
8/1/2006,16.67,1270.92
7/1/2006,16.61,1280.19
6/1/2006,16.82,1285.71
5/1/2006,17.46,1305.19
4/1/2006,17.77,1297.81
3/1/2006,17.8,1291.24
2/1/2006,17.8,1282.46
1/1/2006,18.07,1268.8
12/1/2005,18.07,1264.67
11/1/2005,18.01,1202.76
10/1/2005,17.64,1226.7
9/1/2005,18.44,1221.59
8/1/2005,18.72,1235.35
7/1/2005,19,1194.44
6/1/2005,19,1202.22
5/1/2005,18.93,1162.16
4/1/2005,19.02,1172.92
3/1/2005,19.84,1210.41
2/1/2005,20.11,1189.41
1/1/2005,19.99,1202.08
12/1/2004,20.48,1191.37
11/1/2004,20.05,1130.51
10/1/2004,19.25,1131.5
9/1/2004,19.35,1105.91
8/1/2004,19.03,1106.62
7/1/2004,19.51,1128.94
6/1/2004,20.17,1121.2
5/1/2004,20.14,1117.49
4/1/2004,21.23,1132.17
3/1/2004,21.61,1155.97
2/1/2004,22.46,1135.26
1/1/2004,22.73,1108.48
12/1/2003,22.17,1070.12
11/1/2003,23.15,1059.02
10/1/2003,24.75,1018.22
9/1/2003,26.42,1021.99
8/1/2003,26.57,980.15
7/1/2003,27.65,982.32
6/1/2003,28.6,967
5/1/2003,28.24,916.3
4/1/2003,28.05,858.48
3/1/2003,27.92,834.81
2/1/2003,28.46,860.32
1/1/2003,31.43,909.03
12/1/2002,32.59,934.53
